scan_date,target_date,symbol,exchange,pattern,forecast,prob,conf,stats,price_at_scan,change_pct,threshold,avg_return,total_bars,actual,price_actual,correct,last_update
2026-02-16,2026-02-17,AWC,SET,+,UP,75.0,10.534108527131792,100/100 (5000),2.54,1.6000000000000014,2.400000000000002,1.2800000000000011,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BANPU,SET,+,UP,65.88449843462166,5.4422492173108346,100/100 (5000),5.8,0.8695652173913012,1.3043478260869519,0.695652173913041,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BCP,SET,+,UP,71.1111111111111,8.055555555555548,100/100 (5000),36.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BEM,SET,+,UP,75.0,10.975465555633868,100/100 (5000),5.6,1.818181818181812,2.7272727272727177,1.4545454545454497,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BGRIM,SET,+,UP,75.0,11.220253320670492,100/100 (5000),15.1,-0.657894736842103,0.9868421052631544,-0.5263157894736824,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BJC,SET,+,UP,66.19091220813944,5.595456104069719,100/100 (5000),16.1,1.2578616352201324,1.8867924528301985,1.006289308176106,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BPP,SET,+,UP,67.01521140256317,6.007605701281582,100/100 (5000),12.1,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BTS,SET,+,UP,69.27101138503434,7.1355056925171745,100/100 (5000),2.52,-8.029197080291977,12.043795620437965,-6.423357664233582,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BTS,SET,++,UP,69.45540087742434,11.673240526454604,100/100 (5000),2.52,-8.029197080291977,12.043795620437965,-6.423357664233582,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BYD,SET,+,UP,75.0,20.0,100/100 (5000),0.66,8.196721311475418,12.295081967213127,6.557377049180335,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BYD,SET,++,UP,70.0,12.961753926362897,100/100 (5000),0.66,8.196721311475418,12.295081967213127,6.557377049180335,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CK,SET,+,UP,75.0,11.514696899009724,100/100 (5000),15.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CKP,SET,+,UP,69.55156754682525,7.275783773412625,100/100 (5000),2.54,0.7936507936507943,1.1904761904761914,0.6349206349206354,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CPALL,SET,+,UP,65.05211381796111,5.026056908980559,100/100 (5000),49.5,0.5076142131979695,0.7614213197969543,0.40609137055837563,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,DOHOME,SET,+,UP,65.13859582729523,5.069297913647619,100/100 (5000),3.92,-1.010101010101011,1.5151515151515165,-0.8080808080808088,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,EPG,SET,+,UP,75.0,17.245350964877737,100/100 (5000),3.72,1.0869565217391313,1.630434782608697,0.8695652173913051,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,EPG,SET,++,UP,66.34022533347037,9.804135200082222,100/100 (5000),3.72,1.0869565217391313,1.630434782608697,0.8695652173913051,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ERW,SET,+,UP,73.81325448716686,9.406627243583433,100/100 (5000),3.1,-1.2738853503184724,1.9108280254777086,-1.019108280254778,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,FORTH,SET,++,UP,70.0,15.0,100/100 (5000),7.9,1.282051282051289,1.9230769230769336,1.0256410256410313,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GPSC,SET,+,UP,75.0,12.544711416199528,100/100 (5000),43.25,0.5813953488372093,0.872093023255814,0.4651162790697675,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GULF,SET,+,UP,68.30339902417272,6.651699512086362,100/100 (5000),59.75,0.8438818565400843,1.2658227848101264,0.6751054852320675,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GUNKUL,SET,+,UP,75.0,13.22539698498777,100/100 (5000),2.22,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,HMPRO,SET,+,UP,69.37400313495434,7.18700156747717,100/100 (5000),7.0,-0.7092198581560258,1.0638297872340388,-0.5673758865248207,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,JMART,SET,+,UP,65.67588742842263,5.337943714211313,100/100 (5000),7.95,-3.0487804878048674,4.573170731707301,-2.439024390243894,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,JMART,SET,++,DOWN,68.49539041452243,11.097234248713463,100/100 (5000),7.95,-3.0487804878048674,4.573170731707301,-2.439024390243894,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,JMT,SET,+,UP,75.0,18.91699329292034,100/100 (5000),10.8,0.9345794392523498,1.4018691588785246,0.7476635514018799,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,JMT,SET,++,UP,70.0,15.0,100/100 (5000),10.8,0.9345794392523498,1.4018691588785246,0.7476635514018799,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,KBANK,SET,+,UP,68.2925503793396,6.646275189669804,100/100 (5000),199.0,1.7902813299232736,2.6854219948849103,1.432225063938619,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,KTB,SET,+,UP,69.69354942041292,7.346774710206461,100/100 (5000),31.0,2.479338842975207,3.7190082644628104,1.9834710743801656,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,KTC,SET,+,UP,75.0,13.616129061023376,100/100 (5000),32.75,7.377049180327869,11.065573770491802,5.901639344262295,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MTC,SET,+,UP,66.80335382718782,5.901676913593912,100/100 (5000),38.75,-0.641025641025641,0.9615384615384615,-0.5128205128205128,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,NEX,SET,+,UP,75.0,11.63371378402107,100/100 (5000),1.36,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ORI,SET,+,UP,72.5544703791646,8.7772351895823,100/100 (5000),2.04,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ORI,SET,++,UP,65.28492774107885,9.170956644647308,100/100 (5000),2.04,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PLANB,SET,+,UP,75.0,14.119532856897177,100/100 (5000),4.56,0.4405286343612241,0.6607929515418361,0.3524229074889793,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PLANB,SET,++,UP,65.82580282646967,9.495481695881804,100/100 (5000),4.56,0.4405286343612241,0.6607929515418361,0.3524229074889793,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PR9,SET,+,UP,68.9707947897826,6.985397394891302,100/100 (5000),21.0,2.4390243902439024,3.6585365853658534,1.951219512195122,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PSL,SET,+,UP,75.0,12.078251398506845,100/100 (5000),6.75,-1.459854014598535,2.1897810218978027,-1.167883211678828,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PTG,SET,+,UP,70.22717635930721,7.613588179653608,100/100 (5000),9.2,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PTTGC,SET,+,UP,66.62681940589641,5.813409702948203,100/100 (5000),26.5,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SABUY,SET,+,UP,75.0,14.523809523809517,100/100 (5000),0.21,4.99999999999999,7.499999999999986,3.9999999999999925,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SABUY,SET,++,UP,68.34711530879066,11.008269185274399,100/100 (5000),0.21,4.99999999999999,7.499999999999986,3.9999999999999925,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SAWAD,SET,+,UP,72.6880264156747,8.844013207837353,100/100 (5000),28.5,0.8849557522123894,1.3274336283185841,0.7079646017699116,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SINGER,SET,+,UP,74.91896404231159,9.959482021155797,100/100 (5000),5.7,0.8849557522123862,1.3274336283185793,0.707964601769909,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SINGER,SET,++,UP,67.65867675050066,10.595206050300398,100/100 (5000),5.7,0.8849557522123862,1.3274336283185793,0.707964601769909,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SIRI,SET,+,UP,68.73034416087253,6.865172080436266,100/100 (5000),1.46,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SJWD,SET,+,UP,71.02283629336551,8.01141814668276,100/100 (5000),8.45,2.4242424242424154,3.6363636363636234,1.9393939393939323,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SNNP,SET,+,UP,71.59527698246985,8.297638491234927,100/100 (5000),7.8,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SSP,SET,+,UP,65.00943369962557,5.004716849812785,100/100 (5000),3.24,0.6211180124223608,0.9316770186335411,0.49689440993788864,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,STA,SET,+,UP,75.0,11.048314673186576,100/100 (5000),14.5,8.208955223880594,12.31343283582089,6.567164179104475,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,STGT,SET,+,UP,67.82315786083173,6.411578930415862,100/100 (5000),9.15,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SUPER,SET,+,UP,73.18181818181816,9.090909090909083,100/100 (5000),0.12,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SUPER,SET,++,UP,70.0,15.0,100/100 (5000),0.12,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TCAP,SET,+,UP,66.23905006734256,5.619525033671279,100/100 (5000),58.0,1.7543859649122806,2.631578947368421,1.4035087719298245,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,THANI,SET,+,UP,75.0,12.439019379566574,100/100 (5000),1.91,0.5263157894736847,0.7894736842105271,0.4210526315789478,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TOA,SET,+,UP,72.52292564496526,8.761462822482624,100/100 (5000),15.3,-3.164556962025316,4.746835443037974,-2.531645569620253,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TQM,SET,+,UP,68.85107225969224,6.9255361298461215,100/100 (5000),13.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TRUE,SET,+,UP,66.98685715806,5.993428579030002,100/100 (5000),13.6,1.4925373134328304,2.2388059701492455,1.1940298507462643,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TTB,SET,+,UP,72.36770070904457,8.683850354522283,100/100 (5000),2.06,1.980198019801982,2.970297029702973,1.5841584158415856,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,VGI,SET,+,UP,75.0,20.0,100/100 (5000),1.27,-6.617647058823535,9.926470588235302,-5.294117647058829,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,VGI,SET,++,UP,70.0,15.0,100/100 (5000),1.27,-6.617647058823535,9.926470588235302,-5.294117647058829,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,WHA,SET,+,UP,71.08723004110333,8.043615020551664,100/100 (5000),4.16,0.48309178743962466,0.724637681159437,0.38647342995169975,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,WHA,SET,++,UP,65.47975888768,9.287855332608007,100/100 (5000),4.16,0.48309178743962466,0.724637681159437,0.38647342995169975,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,WHAUP,SET,+,UP,65.32532367785825,5.162661838929128,100/100 (5000),4.9,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ADP,NASDAQ,-,DOWN,67.0537114388147,6.0268557194073535,100/100 (5000),213.08,0.4573098863797081,0.6859648295695622,0.3658479091037665,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ADSK,NASDAQ,-,DOWN,69.16861439250263,7.084307196251316,100/100 (5000),225.32,-2.5516823804169215,3.8275235706253823,-2.041345904333537,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,AEP,NASDAQ,+,UP,69.7501274087325,7.375063704366247,100/100 (5000),130.24,0.23087578882562057,0.34631368323843087,0.18470063106049647,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,AMAT,NASDAQ,+,UP,72.43089231179329,8.715446155896645,100/100 (5000),359.13,1.1890338395649518,1.7835507593474276,0.9512270716519615,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,AMAT,NASDAQ,++,UP,70.0,12.3964187541983,100/100 (5000),359.13,1.1890338395649518,1.7835507593474276,0.9512270716519615,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,AMD,NASDAQ,-,DOWN,67.14496233501812,6.072481167509058,100/100 (5000),203.08,-2.0451475979162552,3.067721396874383,-1.6361180783330043,5000,PENDING,,,2026-02-16 15:00:00
