scan_date,target_date,symbol,exchange,pattern,forecast,prob,conf,stats,price_at_scan,change_pct,threshold,avg_return,total_bars,actual,price_actual,correct,last_update
2026-02-16,2026-02-17,AMD,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),203.08,-2.0451475979162552,3.067721396874383,-1.6361180783330043,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BIDU,NASDAQ,-,DOWN,68.30316889160625,6.6515844458031275,100/100 (5000),137.33,0.23355959419022088,0.3503393912853313,0.18684767535217672,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BIIB,NASDAQ,++,UP,65.18176291662162,9.109057749972973,100/100 (5000),195.62,-0.4579686545898665,0.6869529818847998,-0.3663749236718932,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,BKNG,NASDAQ,++,DOWN,65.18951395778646,9.113708374671878,100/100 (5000),4140.15,-0.010867990146373172,0.016301985219559757,-0.008694392117098538,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CDNS,NASDAQ,++,DOWN,68.75353771992246,11.252122631953482,100/100 (5000),283.46,-5.342950644493421,8.014425966740133,-4.274360515594737,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CHTR,NASDAQ,++,DOWN,65.28157850546582,9.168947103279487,100/100 (5000),237.01,-0.8699652850391119,1.3049479275586677,-0.6959722280312896,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CPRT,NASDAQ,-,DOWN,68.68449418894824,6.842247094474119,100/100 (5000),37.52,0.0800213390237427,0.12003200853561405,0.06401707121899416,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CRWD,NASDAQ,++,UP,69.10007447312827,11.46004468387697,100/100 (5000),414.285,-3.573922353598352,5.360883530397528,-2.8591378828786818,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CSCO,NASDAQ,-,DOWN,75.0,11.28886252525202,100/100 (5000),76.85,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,CSCO,NASDAQ,++,DOWN,69.59055080946305,11.754330485677828,100/100 (5000),76.85,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,DDOG,NASDAQ,+,UP,71.28532524695518,8.142662623477593,100/100 (5000),122.56,-2.1086261980830674,3.162939297124601,-1.686900958466454,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,DDOG,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),122.56,-2.1086261980830674,3.162939297124601,-1.686900958466454,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ENPH,NASDAQ,-,DOWN,73.25685026871757,9.128425134358787,100/100 (5000),45.64,4.94366521039319,7.415497815589785,3.9549321683145524,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ENPH,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),45.64,4.94366521039319,7.415497815589785,3.9549321683145524,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,EXC,NASDAQ,+,UP,73.24102480225346,9.120512401126735,100/100 (5000),48.04,-0.9075907590759029,1.3613861386138544,-0.7260726072607224,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,FISV,NASDAQ,+,UP,66.63619051773412,5.8180952588670625,100/100 (5000),63.45,6.890161725067391,10.335242587601087,5.5121293800539135,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,FISV,NASDAQ,++,UP,68.70978896393228,11.225873378359374,100/100 (5000),63.45,6.890161725067391,10.335242587601087,5.5121293800539135,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GFS,NASDAQ,+,UP,75.0,11.532760929956998,100/100 (5000),48.22,-1.5717493365993125,2.3576240048989687,-1.2573994692794501,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GFS,NASDAQ,++,UP,70.0,15.0,100/100 (5000),48.22,-1.5717493365993125,2.3576240048989687,-1.2573994692794501,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GOOG,NASDAQ,-,DOWN,68.65562607802914,6.827813039014574,100/100 (5000),302.82,-1.0456832886739393,1.568524933010909,-0.8365466309391515,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,GOOGL,NASDAQ,-,DOWN,69.12754680299186,7.063773401495932,100/100 (5000),302.02,-1.2102577521915625,1.8153866282873437,-0.96820620175325,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ILMN,NASDAQ,++,DOWN,65.04956962181426,9.029741773088555,100/100 (5000),116.51,-0.2568273264275295,0.3852409896412942,-0.20546186114202358,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,INTC,NASDAQ,-,DOWN,71.22788235925883,8.113941179629414,100/100 (5000),46.18,-1.3036973712331683,1.9555460568497525,-1.0429578969865347,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,INTC,NASDAQ,++,DOWN,70.0,13.225855381860564,100/100 (5000),46.18,-1.3036973712331683,1.9555460568497525,-1.0429578969865347,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,INTU,NASDAQ,-,DOWN,75.0,13.967997260507103,100/100 (5000),379.17,-5.065097646469695,7.597646469704543,-4.052078117175756,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,INTU,NASDAQ,++,DOWN,67.96188980188374,10.777133881130245,100/100 (5000),379.17,-5.065097646469695,7.597646469704543,-4.052078117175756,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,KLAC,NASDAQ,++,UP,70.0,15.0,100/100 (5000),1470.19,0.4138976730208346,0.6208465095312519,0.3311181384166677,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,LCID,NASDAQ,-,DOWN,75.0,10.666391106383001,100/100 (5000),9.92,-3.5019455252918235,5.252918287937735,-2.801556420233459,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,LCID,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),9.92,-3.5019455252918235,5.252918287937735,-2.801556420233459,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,LRCX,NASDAQ,++,UP,70.0,12.690252623968739,100/100 (5000),235.58,0.021228718209999307,0.03184307731499896,0.016982974567999447,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,LULU,NASDAQ,++,DOWN,66.27980994380468,9.767885966282806,100/100 (5000),177.72,0.7368779049994396,1.1053168574991594,0.5895023239995517,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MAR,NASDAQ,+,UP,72.36118132030138,8.68059066015069,100/100 (5000),359.94,1.7095707705784315,2.5643561558676473,1.3676566164627453,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MCHP,NASDAQ,+,UP,67.23002612500869,6.115013062504349,100/100 (5000),78.94,0.483706720977591,0.7255600814663865,0.3869653767820728,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MCHP,NASDAQ,++,UP,66.00344362917214,9.602066177503286,100/100 (5000),78.94,0.483706720977591,0.7255600814663865,0.3869653767820728,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,META,NASDAQ,-,DOWN,66.41198192940635,5.705990964703178,100/100 (5000),639.29,-0.07502696281476441,0.11254044422214662,-0.06002157025181153,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,META,NASDAQ,++,DOWN,67.09089666346829,10.254537998080972,100/100 (5000),639.29,-0.07502696281476441,0.11254044422214662,-0.06002157025181153,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MRNA,NASDAQ,++,UP,66.6433877831514,9.98603266989084,100/100 (5000),43.93,4.0255742363248945,6.038361354487342,3.220459389059916,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MRVL,NASDAQ,++,DOWN,65.64152936911279,9.384917621467673,100/100 (5000),79.01,0.5088411143620477,0.7632616715430716,0.4070728914896382,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MSFT,NASDAQ,++,DOWN,65.92800745593696,9.556804473562178,100/100 (5000),396.86,-1.1113326024120351,1.6669989036180528,-0.8890660819296281,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,MU,NASDAQ,++,UP,70.0,15.0,100/100 (5000),399.78,-2.8858766943594354,4.328815041539153,-2.3087013554875484,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,NFLX,NASDAQ,-,DOWN,65.92814683528078,5.464073417640392,100/100 (5000),77.0,0.16911669051645042,0.25367503577467565,0.13529335241316034,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,NXPI,NASDAQ,+,UP,69.17000008982396,7.0850000449119825,100/100 (5000),245.09,0.27001595548827745,0.40502393323241614,0.21601276439062198,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,NXPI,NASDAQ,++,UP,65.79208732147875,9.475252392887247,100/100 (5000),245.09,0.27001595548827745,0.40502393323241614,0.21601276439062198,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ODFL,NASDAQ,++,DOWN,69.98770494883583,11.992622969301495,100/100 (5000),193.32,0.056932870969403866,0.0853993064541058,0.0455462967755231,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PANW,NASDAQ,++,DOWN,65.66433857008391,9.39860314205035,100/100 (5000),163.5,-2.066486972147343,3.099730458221014,-1.6531895777178744,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,PYPL,NASDAQ,++,DOWN,70.0,15.0,100/100 (5000),40.81,1.2906428394142544,1.9359642591213815,1.0325142715314035,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,RIVN,NASDAQ,+,UP,75.0,14.888293295674481,100/100 (5000),16.47,-7.1065989847715825,10.659898477157373,-5.685279187817266,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,RIVN,NASDAQ,++,UP,70.0,15.0,100/100 (5000),16.47,-7.1065989847715825,10.659898477157373,-5.685279187817266,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ROKU,NASDAQ,++,DOWN,70.0,12.161173380350347,100/100 (5000),88.58,-1.643348878525432,2.465023317788148,-1.3146791028203457,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SIRI,NASDAQ,++,DOWN,66.1627957871847,9.69767747231083,100/100 (5000),21.02,-1.2682010333489881,1.9023015500234823,-1.0145608266791906,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,SNPS,NASDAQ,++,DOWN,67.9171666398099,10.75029998388594,100/100 (5000),421.95,-3.4638175204191324,5.195726280628699,-2.771054016335306,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TEAM,NASDAQ,-,DOWN,75.0,10.185423060034482,100/100 (5000),82.15,-2.642806352216153,3.964209528324229,-2.1142450817729226,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TEAM,NASDAQ,++,DOWN,67.36555958637018,10.419335751822103,100/100 (5000),82.15,-2.642806352216153,3.964209528324229,-2.1142450817729226,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TMUS,NASDAQ,+,UP,75.0,10.71323333380061,100/100 (5000),219.61,0.05011389521640713,0.07517084282461069,0.040091116173125704,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,TXN,NASDAQ,++,UP,65.39522894007526,9.237137364045152,100/100 (5000),225.69,-0.20781747435443884,0.31172621153165825,-0.16625397948355108,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,VRSK,NASDAQ,++,UP,66.74899533668834,10.049397202013004,100/100 (5000),177.3,-2.1577175652557785,3.236576347883668,-1.726174052204623,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,WBD,NASDAQ,+,UP,66.13771871406,5.568859357029998,100/100 (5000),28.75,2.715255448374425,4.072883172561638,2.17220435869954,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,XEL,NASDAQ,+,UP,66.1547501540002,5.577375077000101,100/100 (5000),80.75,-1.0295379335702948,1.5443069003554422,-0.8236303468562358,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ZM,NASDAQ,-,DOWN,69.37365051089907,7.186825255449536,100/100 (5000),88.65,-4.265658747300204,6.398488120950306,-3.4125269978401636,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,ZS,NASDAQ,++,DOWN,67.78977757881898,10.673866547291395,100/100 (5000),172.59,-2.886563133018228,4.329844699527342,-2.3092505064145827,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,2303,TWSE,++,UP,69.74941099571954,11.849646597431725,100/100 (5000),62.8,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,2308,TWSE,++,UP,66.66618366864391,9.999710201186344,100/100 (5000),1260.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,2330,TWSE,+,UP,69.27734331558139,7.138671657790696,100/100 (5000),1915.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,2395,TWSE,+,UP,66.94415336730836,5.972076683654182,100/100 (5000),305.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,2454,TWSE,++,UP,65.9165449427165,9.5499269656299,100/100 (5000),1855.0,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,3711,TWSE,+,UP,75.0,16.742872281197563,100/100 (5000),354.5,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,3711,TWSE,++,UP,70.0,13.350147188485012,100/100 (5000),354.5,0.0,0.0,0.0,5000,PENDING,,,2026-02-16 15:00:00
2026-02-16,2026-02-17,3690,HKEX,-,DOWN,75.0,10.220647571905827,100/100 (5000),82.05,-0.1217285453438935,0.18259281801584026,-0.0973828362751148,5000,PENDING,,,2026-02-16 15:00:00
